Sentence ID,Sentence,Choice,Correct suffix,Stress,condition,subject,f/m,V,V,object
1_C1,La novia mancha la manta,cha,a,paroxytone,1,novia,f,manchar,CVC,manta
1_C2,La novia manchó la manta,chó,ó,oxytone,2,novia,f,manchar,CVC,manta
2_C1,La médica firma la petición,ma,a,paroxytone,1,médica,f,firmar,CVC,petición
2_C2,La médica firmó la petición,mó,ó,oxytone,2,médica,f,firmar,CVC,petición
3_C1,La sobrina gasta el dinero,ta,a,paroxytone,1,sobrina,m,gastar,CVC,dinero
3_C2,La sobrina gastó el dinero,tó,ó,oxytone,2,sobrina,m,gastar,CVC,dinero
4_C1,El granjero salva el gato,va,a,paroxytone,1,granjero,f,salvar,CVC,gato
4_C2,El granjero salvó el gato,vó,ó,oxytone,2,granjero,f,salvar,CVC,gato
5_C1,La hija monta la bicicleta,ta,a,paroxytone,1,hija,f,montar,CVC,bicicleta
5_C2,La hija montó la bicicleta,tó,ó,oxytone,2,hija,f,montar,CVC,bicicleta
6_C1,La reportera manda el mensaje,da,a,paroxytone,1,reportera,f,mandar,CVC,mensaje
6_C2,La reportera mandó el mensaje,dó,ó,oxytone,2,reportera,f,mandar,CVC,mensaje
7_C1,La estudiante salta la barrera,ta,a,paroxytone,1,estudiante,m,saltar,CVC,barrera
7_C2,La estudiante saltó la barrera,tó,ó,oxytone,2,estudiante,m,saltar,CVC,barrera
8_C1,El oficicial carga la bandera,ga,a,paroxytone,1,oficicial,m,cargar,CVC,bandera
8_C2,El oficicial cargó la bandera,gó,ó,oxytone,2,oficicial,m,cargar,CVC,bandera
9_C1,El pariente marca el número,ca,a,paroxytone,1,pariente,m,marcar,CVC,número
9_C2,El pariente marcó el número,có,ó,oxytone,2,pariente,m,marcar,CVC,número
10_C1,El jugador logra la medalla,ra,a,paroxytone,1,jugador,m,lograr,CVC,medalla
10_C2,El jugador logró la medalla,ró,ó,oxytone,2,jugador,m,lograr,CVC,medalla
11_C1,El entrenador forma el equipo,ma,a,paroxytone,1,entrenador,f,formar,CVC,equipo
11_C2,El entrenador formó el equipo,mó,ó,oxytone,2,entrenador,f,formar,CVC,equipo
12_C1,La jefa culpa al tiempo,pa,a,paroxytone,1,jefa,f,culpar,CVC,tiempo
12_C2,La jefa culpó al tiempo,pó,ó,oxytone,2,jefa,f,culpar,CVC,tiempo
13_C1,La arquitecta lleva el plano,va,a,paroxytone,1,arquitecta,m,llevar,CV,plano
13_C2,La arquitecta llevó el plano,vó,ó,oxytone,2,arquitecta,m,llevar,CV,plano
14_C1,El profesor deja la cartera,ja,a,paroxytone,1,profesor,f,dejar,CV,cartera
14_C2,El profesor dejó la cartera,jó,ó,oxytone,2,profesor,f,dejar,CV,cartera
15_C1,La anciana toma la medicina,ma,a,paroxytone,1,anciana,m,tomar,CV,medicina
15_C2,La anciana tomó la medicina,mó,ó,oxytone,2,anciana,m,tomar,CV,medicina
16_C1,El árbitro mira el reloj,ra,a,paroxytone,1,árbitro,m,mirar,CV,reloj
16_C2,El árbitro miró el reloj,ró,ó,oxytone,2,árbitro,m,mirar,CV,reloj
17_C1,El escitor gana el concurso,na,a,paroxytone,1,escitor,m,ganar,CV,concurso
17_C2,El escritor ganó el concurso,nó,ó,oxytone,2,escritor,m,ganar,CV,concurso
18_C1,El piloto baja el asiento,ja,a,paroxytone,1,piloto,m,bajar,CV,asiento
18_C2,El piloto bajó el asiento,jó,ó,oxytone,2,piloto,m,bajar,CV,asiento
19_C1,El adolescente tira la piedra,ra,a,paroxytone,1,adolescente,f,tirar,CV,piedra
19_C2,El adolescente tiró la piedra,ró,ó,oxytone,2,adolescente,f,tirar,CV,piedra
20_C1,La maestra borra la pizarra,rra,a,paroxytone,1,maestra,f,borrar,CV,pizarra
20_C2,La maestra borró la pizarra,rró,ó,oxytone,2,maestra,f,borrar,CV,pizarra
21_C1,La artista quita el delantal,ta,a,paroxytone,1,artista,m,quitar,CV,delantal
21_C2,La artista quitó el delantal,tó,ó,oxytone,2,artista,m,quitar,CV,delantal
22_C1,El ingeniero pesa el material ,sa,a,paroxytone,1,ingeniero,m,pesar,CV,
22_C2,El ingeniero pesó el material ,só,ó,oxytone,2,ingeniero,m,pesar,CV,
23_C1,El obrero fuma el cigarro,ma,a,paroxytone,1,obrero,f,fumar,CV,cigarro
23_C2,El obrero fumó el cigarro,mó,ó,oxytone,2,obrero,f,fumar,CV,cigarro
24_C1,La azafata llena la copa,na,a,paroxytone,1,azafata,m,llenar,CV,copa
24_C2,La azafata llenó la copa,nó,ó,oxytone,2,azafata,m,llenar,CV,copa
25_C1,El torero manchó el traje,chó,ó,oxytone,1,torero,m,manchar,CVC,traje
25_C2,El torero mancha el traje,cha,a,paroxytone,2,torero,m,manchar,CVC,traje
26_C1,El gerente firmó el cheque,mó,ó,oxytone,1,gerente,f,firmar,CVC,cheque
26_C2,El gerente firma el cheque,ma,a,paroxytone,2,gerente,f,firmar,CVC,cheque
27_C1,La muchacha gastó el champú,tó,ó,oxytone,1,muchacha,m,gastar,CVC,champú
27_C2,La muchacha gasta el champú,ta,a,paroxytone,2,muchacha,m,gastar,CVC,champú
28_C1,El bombero salvó la casa,vó,ó,oxytone,1,bombero,f,salvar,CVC,casa
28_C2,El bombero salva la casa,va,a,paroxytone,2,bombero,f,salvar,CVC,casa
29_C1,La turista montó la fiesta,tó,ó,oxytone,1,turista,f,montar,CVC,fiesta
29_C2,La turista monta la fiesta,ta,a,paroxytone,2,turista,f,montar,CVC,fiesta
30_C1,La viajera mandó la caja,dó,ó,oxytone,1,viajera,m,mandar,CVC,caja
30_C2,La viajera manda la caja,da,a,paroxytone,2,viajera,m,mandar,CVC,caja
31_C1,El coronel saltó el obstaculo,tó,ó,oxytone,1,coronel,m,saltar,CVC,obstaculo
31_C2,El coronel salta el obstaculo,ta,a,paroxytone,2,coronel,m,saltar,CVC,obstaculo
32_C1,El mecánico cargó el camión,gó,ó,oxytone,1,mecánico,m,cargar,CVC,camión
32_C2,El mecánico carga el camión,ga,a,paroxytone,2,mecánico,m,cargar,CVC,camión
33_C1,El futbolista marcó el gol,có,ó,oxytone,1,futbolista,f,marcar,CVC,gol
33_C2,El futbolista marca el gol,ca,a,paroxytone,2,futbolista,f,marcar,CVC,gol
34_C1,La cantante logró la meta,ró,ó,oxytone,1,cantante,f,lograr,CVC,meta
34_C2,La cantante logra la meta,ra,a,paroxytone,2,cantante,f,lograr,CVC,meta
35_C1,La dueña formó la empresa,mó,ó,oxytone,1,dueña,m,formar,CVC,empresa
35_C2,La dueña forma la empresa,ma,a,paroxytone,2,dueña,m,formar,CVC,empresa
36_C1,El conductor culpó al tráfico,pó,ó,oxytone,1,conductor,f,culpar,CVC,tráfico
36_C2,El conductor culpa al tráfico,pa,a,paroxytone,2,conductor,f,culpar,CVC,tráfico
